region,category,parameter,mode,powertrain,year,unit,value
Mexico,Historical,EV stock,Cars,BEV,2014,,151
Mexico,Historical,EV stock,Cars,BEV,2015,,243
Mexico,Historical,EV stock,Cars,PHEV,2015,,7
Mexico,Historical,EV stock,Cars,BEV,2016,,497
Mexico,Historical,EV stock,Cars,PHEV,2016,,528
Mexico,Historical,EV stock,Cars,BEV,2017,,731
Mexico,Historical,EV stock,Cars,PHEV,2017,,1496
Mexico,Historical,EV stock,Cars,BEV,2018,,932
Mexico,Historical,EV stock,Cars,PHEV,2018,,3080
Mexico,Historical,EV stock,Cars,BEV,2019,,1200
Mexico,Historical,EV stock,Cars,PHEV,2019,,3532
Mexico,Historical,EV stock,Cars,BEV,2020,,3106
Mexico,Historical,EV stock,Cars,PHEV,2020,,4142
Netherlands,Historical,EV stock,Cars,BEV,2010,,266
Netherlands,Historical,EV stock,Cars,PHEV,2010,,11
Netherlands,Historical,EV stock,Cars,BEV,2011,,1124
Netherlands,Historical,EV stock,Cars,PHEV,2011,,26
Netherlands,Historical,EV stock,Cars,BEV,2012,,1910
Netherlands,Historical,EV stock,Cars,PHEV,2012,,4353
Netherlands,Historical,EV stock,Cars,BEV,2013,,4161
Netherlands,Historical,EV stock,Cars,PHEV,2013,,24476
Netherlands,Historical,EV stock,Cars,BEV,2014,,6825
Netherlands,Historical,EV stock,Cars,FCEV,2014,,2.2109999656677246
Netherlands,Historical,EV stock,Cars,PHEV,2014,,36977
Netherlands,Historical,EV stock,Cars,BEV,2015,,9368
Netherlands,Historical,EV stock,Cars,FCEV,2015,,23.211000442504883
Netherlands,Historical,EV stock,Cars,PHEV,2015,,78160
Netherlands,Historical,EV stock,Cars,BEV,2016,,13105
Netherlands,Historical,EV stock,Cars,FCEV,2016,,30
Netherlands,Historical,EV stock,Cars,PHEV,2016,,99098
Netherlands,Historical,EV stock,Cars,BEV,2017,,21115
Netherlands,Historical,EV stock,Cars,FCEV,2017,,35
Netherlands,Historical,EV stock,Cars,PHEV,2017,,98225
Netherlands,Historical,EV stock,Cars,BEV,2018,,44984
Netherlands,Historical,EV stock,Cars,FCEV,2018,,48
Netherlands,Historical,EV stock,Cars,PHEV,2018,,97754
Netherlands,Historical,EV stock,Cars,BEV,2019,,107536
Netherlands,Historical,EV stock,Cars,FCEV,2019,,230
Netherlands,Historical,EV stock,Cars,PHEV,2019,,95885
Netherlands,Historical,EV stock,Cars,BEV,2020,,182481
Netherlands,Historical,EV stock,Cars,FCEV,2020,,314
Netherlands,Historical,EV stock,Cars,PHEV,2020,,108652
New Zealand,Historical,EV stock,Cars,BEV,2010,,14
New Zealand,Historical,EV stock,Cars,BEV,2011,,27
New Zealand,Historical,EV stock,Cars,PHEV,2011,,2
New Zealand,Historical,EV stock,Cars,BEV,2012,,49
New Zealand,Historical,EV stock,Cars,PHEV,2012,,7
New Zealand,Historical,EV stock,Cars,BEV,2013,,79
New Zealand,Historical,EV stock,Cars,PHEV,2013,,13
New Zealand,Historical,EV stock,Cars,BEV,2014,,191
New Zealand,Historical,EV stock,Cars,PHEV,2014,,220
New Zealand,Historical,EV stock,Cars,BEV,2015,,486
New Zealand,Historical,EV stock,Cars,PHEV,2015,,419
New Zealand,Historical,EV stock,Cars,BEV,2016,,1648
New Zealand,Historical,EV stock,Cars,PHEV,2016,,759
New Zealand,Historical,EV stock,Cars,BEV,2017,,4583
New Zealand,Historical,EV stock,Cars,PHEV,2017,,1296
New Zealand,Historical,EV stock,Cars,BEV,2018,,8939
New Zealand,Historical,EV stock,Cars,PHEV,2018,,2481
New Zealand,Historical,EV stock,Cars,BEV,2019,,13278
New Zealand,Historical,EV stock,Cars,FCEV,2019,,2
New Zealand,Historical,EV stock,Cars,PHEV,2019,,4424
New Zealand,Historical,EV stock,Cars,BEV,2020,,17120
New Zealand,Historical,EV stock,Cars,FCEV,2020,,5
New Zealand,Historical,EV stock,Cars,PHEV,2020,,5886
Norway,Historical,EV stock,Cars,BEV,2010,,2680
Norway,Historical,EV stock,Cars,PHEV,2010,,2
Norway,Historical,EV stock,Cars,BEV,2011,,3909
Norway,Historical,EV stock,Cars,PHEV,2011,,3
Norway,Historical,EV stock,Cars,BEV,2012,,8031
Norway,Historical,EV stock,Cars,PHEV,2012,,336
Norway,Historical,EV stock,Cars,BEV,2013,,15013.4619140625
Norway,Historical,EV stock,Cars,PHEV,2013,,659
Norway,Historical,EV stock,Cars,BEV,2014,,33103.4609375
